accountsservice 22.08.8-2
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
adobe-source-serif-fonts 4.004-2
aic94xx-firmware 30-9
alsa-firmware 1.2.4-2
arandr 0.1.10-7
arc-darkest-theme-git r172.c8bdaead59-1
archiso 67-1
archlinux-logout-git 22.06-03
archlinux-tweak-tool-git 22.09-02
arcolinux-alacritty-git 22.05-01
arcolinux-arc-kde 20220908-01
arcolinux-bin-git 22.09-01
arcolinux-config-all-desktops-git 22.07-01
arcolinux-conky-collection-git 22.02-04
arcolinux-dconf-all-desktops-git 22.07-01
arcolinux-desktop-trasher-git 22.05-02
arcolinux-docs-git 21.07-01
arcolinux-fonts-git 21.07-01
arcolinux-geany-git 21.07-01
arcolinux-grub-theme-vimix-git 20220707-01
arcolinux-gtk3-sardi-arc-git 21.07-01
arcolinux-hblock-git 3.4.0-1
arcolinux-kvantum-git 22.06-01
arcolinux-local-applications-all-hide-git 22.05-01
arcolinux-local-applications-git 22.04-01
arcolinux-local-xfce4-git 21.07-01
arcolinux-neofetch-git 22.07-04
arcolinux-nitrogen-git 21.07-01
arcolinux-obmenu-generator-minimal-git 22.05-01
arcolinux-openbox-themes-git 21.07-01
arcolinux-openboxb-git 22.05-03
arcolinux-pamac-all 10.4.2-1
arcolinux-paru-git 21.07-01
arcolinux-polybar-git 22.06-01
arcolinux-qt5-git 21.07-01
arcolinux-qtile-git 22.09-01
arcolinux-rofi-git 21.09-02
arcolinux-rofi-themes-git 21.07-01
arcolinux-root-git 22.08-01
arcolinux-sddm-simplicity-git 22.09-02
arcolinux-system-config-git 22.09-07
arcolinux-systemd-services-git 21.08-05
arcolinux-termite-themes-git 21.07-01
arcolinux-tint2-git 21.07-01
arcolinux-tint2-themes-git 21.07-01
arcolinux-variety-autostart-git 21.07-01
arcolinux-variety-git 22.05-01
arcolinux-volumeicon-git 21.07-01
arcolinux-wallpapers-git 22.06-01
